landa;clean water;T_0;T_1;T_2;T_3;T_4;T_5;T_6;T_7;T_8;T_9;T_10;T_11;T_12;T_13;T_14;T_15;T_16;T_17;T_18;T_19;T_20;T_21;T_22;T_23;T_24;T_25;T_26;T_27;T_28;T_29;T_30;T_31;T_32;T_33;T_34;T_35
NA;NA;0.49998;1.42564;2.4575;3.46887;4.49757;5.49833;6.48148;7.4884;8.49273;9.4765;10.47444;11.48125;12.46933;13.498;14.51714;15.52467;16.49786;17.49643;18.49692;19.49067;20.50533;21.50706;22.495;23.491;24.50389;25.49737;26.47875;27.52;28.503;29.50526;30.49444;31.48177;32.47778;33.475;34.47444;35
398.5;0.0317;-0.0501;-0.04597;-0.0418;-0.03924;-0.03773;-0.03463;-0.03274;-0.03128;-0.02706;-0.02647;-0.02323;-0.02076;-0.0194;-0.01768;-0.01597;-0.01479;-0.01119;-0.01277;-0.00963;-0.00849;-0.00739;-0.00457;-0.00571;-0.00274;-0.00173;0;-0.00011;0.00103;0.00342;0.00369;0.00599;0.00661;0.00839;0.00846;0.00946;0.01219
402.6;0.1388;-0.04536;-0.04126;-0.03781;-0.03533;-0.03382;-0.03116;-0.02829;-0.02781;-0.02384;-0.02275;-0.02115;-0.01877;-0.01681;-0.01557;-0.01261;-0.0124;-0.00962;-0.00991;-0.00819;-0.00822;-0.00746;-0.0057;-0.00581;-0.00358;-0.00242;0;-0.0005;0.00049;0.00243;0.00238;0.0038;0.00376;0.00614;0.00553;0.00607;0.00918
406.2;0.2255;-0.04088;-0.03603;-0.0325;-0.03045;-0.02871;-0.02669;-0.02391;-0.02364;-0.01952;-0.01872;-0.01739;-0.01489;-0.01262;-0.01277;-0.00872;-0.00905;-0.00713;-0.0071;-0.0052;-0.00549;-0.00588;-0.00449;-0.00463;-0.00233;-0.00162;0;-0.0007;0.00062;0.00195;0.00183;0.00244;0.00323;0.00402;0.00374;0.00415;0.0078
409.6;0.2971;-0.03691;-0.03347;-0.02978;-0.0279;-0.02624;-0.02428;-0.02212;-0.02152;-0.01815;-0.01655;-0.01632;-0.01504;-0.01173;-0.01178;-0.00852;-0.00829;-0.00588;-0.0061;-0.00468;-0.00641;-0.00552;-0.00449;-0.00506;-0.00255;-0.00291;0;-0.00185;-0.00092;0.00092;0.00015;-0.0001;0.00131;0.00185;0.00163;0.00159;0.00334
413.2;0.3608;-0.03257;-0.02836;-0.0255;-0.02448;-0.02333;-0.02172;-0.01986;-0.01871;-0.01597;-0.01462;-0.01466;-0.01463;-0.00979;-0.00989;-0.00689;-0.00723;-0.00494;-0.00477;-0.00394;-0.00478;-0.00517;-0.0037;-0.00283;-0.0031;-0.00224;0;-0.00169;-0.00034;0.00043;0.00025;0.00004;0.00111;0.00095;0.00021;0.00017;0.00252
416.9;0.4168;-0.02951;-0.02366;-0.02092;-0.01988;-0.01897;-0.01782;-0.01581;-0.01536;-0.01309;-0.01131;-0.01143;-0.00958;-0.00629;-0.00778;-0.00548;-0.00509;-0.00335;-0.00335;-0.00285;-0.00398;-0.0045;-0.00316;-0.00291;-0.00267;-0.00255;0;-0.00114;-0.00005;0.00033;-0.00021;-0.00095;0.00051;0.00064;0.00002;0.00016;0.00156
421;0.4714;-0.02655;-0.02159;-0.01936;-0.0176;-0.01635;-0.01487;-0.01318;-0.01313;-0.01127;-0.00943;-0.00851;-0.0068;-0.00485;-0.00538;-0.00384;-0.00405;-0.00233;-0.00275;-0.00176;-0.00383;-0.00352;-0.00316;-0.0026;-0.0029;-0.00299;0;-0.00182;-0.00014;-0.00053;-0.00029;-0.00202;-0.00006;-0.00058;-0.00099;-0.00135;0.00077
425.4;0.5226;-0.02544;-0.02095;-0.01836;-0.01675;-0.0151;-0.01396;-0.01181;-0.0117;-0.00939;-0.00746;-0.00744;-0.00593;-0.00354;-0.00356;-0.00259;-0.00291;-0.00067;-0.0014;-0.0011;-0.00271;-0.00349;-0.00212;-0.00184;-0.00227;-0.00221;0;-0.00109;-0.00026;0.00028;0.0003;-0.00158;0.00028;-0.00005;-0.00051;-0.00075;-0.00036
429.7;0.5706;-0.02428;-0.02033;-0.01771;-0.01589;-0.01476;-0.01309;-0.01147;-0.01122;-0.00881;-0.00696;-0.00684;-0.00562;-0.00285;-0.00365;-0.00275;-0.00242;-0.00061;-0.00105;-0.00102;-0.00212;-0.00284;-0.0019;-0.00153;-0.00201;-0.00206;0;-0.00128;0.00032;0.00001;0.00055;-0.00126;0.00045;-0.00021;-0.00054;-0.00047;0.00049
433.6;0.6163;-0.02391;-0.02002;-0.01764;-0.01581;-0.01463;-0.01278;-0.0116;-0.01117;-0.00883;-0.007;-0.00643;-0.00551;-0.00257;-0.00379;-0.00203;-0.00249;-0.00066;-0.00127;-0.0008;-0.00225;-0.00298;-0.00219;-0.00169;-0.00199;-0.00196;0;-0.00131;-0.00023;-0.00038;0.00021;-0.00177;0.00006;-0.00067;-0.00104;-0.00091;-0.00097
437.5;0.6641;-0.02226;-0.01867;-0.01648;-0.01484;-0.01361;-0.01197;-0.0108;-0.01024;-0.00785;-0.00608;-0.00548;-0.00474;-0.00205;-0.00281;-0.0019;-0.00179;0.00013;-0.00065;-0.00067;-0.00127;-0.00239;-0.00145;-0.00104;-0.00146;-0.00146;0;-0.00086;0.00021;0.00007;0.00038;-0.00131;0.00052;-0.00012;-0.00068;-0.00038;-0.00043
441.7;0.7081;-0.021;-0.01777;-0.01573;-0.01412;-0.01286;-0.01165;-0.01015;-0.00956;-0.00773;-0.00549;-0.0052;-0.00399;-0.00175;-0.00221;-0.0018;-0.00142;0.00003;-0.00087;-0.0002;-0.00118;-0.00197;-0.00134;-0.00118;-0.00118;-0.00131;0;-0.00069;0.00026;-0.00011;0.00027;-0.00105;0.00037;0;-0.00061;-0.00073;-0.00154
446.2;0.7499;-0.02002;-0.01705;-0.0151;-0.01352;-0.01224;-0.01088;-0.00965;-0.00913;-0.00702;-0.00511;-0.00462;-0.00355;-0.00167;-0.00178;-0.00149;-0.00148;0.00035;-0.00067;-0.00013;-0.0011;-0.00197;-0.00109;-0.00065;-0.00109;-0.00108;0;-0.0004;0.00023;0.00015;0.0007;-0.00108;0.00043;0.00001;-0.00051;-0.00016;0.00007
